Specimen	Locomotion	Diet	Clade
Acrobates_pygmaeus	Arboreal	Insectivore	Petauroid
Aepyprymnus_rufescens	Saltatorial	Herbivore	Macropod
Antechinus_flavipes	Scansorial	Insectivore	Dasyuromorph
Caluromys_derbianus	Arboreal	Omnivore	Didelphid
Chironectes_minimus	Terrestrial	Carnivore	Didelphid
Dactylopsila_trivirgata	Arboreal	Insectivore	Petauroid
Dasyurus_viverrinus	Scansorial	Carnivore	Dasyuromorph
Dendrolagus_inustus	Saltatorial	Herbivore	Macropod
Didelphis_marsupialis	Terrestrial	Omnivore	Didelphid
Didelphis_virginiana	Scansorial	Omnivore	Didelphid
